,Timestamp_rome,Open,High,Low,Close,Volume,Trades,fast_period,slow_period,macd,signal,hist,atr,Trade_Direction,stop_loss,price_slope,donchain_pos,sar,Rsi_9,Rsi_14,OBV,ema_50_slope,ema_200_slope,ema_gap,distance_from_ema_50,distance_from_ema_200
5046,2022-12-27 01:15:00+01:00,16957.88,16959.5,16918.01,16925.24,1020.33842,1.0,16943.78890460727,16916.026841270035,27.762063337235304,30.86089707718659,-3.098833739951285,19.969747038350242,-1,16975.164367595877,6.856714285715182,0.6929875491903779,16972.83,62.30295610345807,65.07323344655461,-51435.11320999998,0.3432278521799955,0.08639567197705804,0.11465622491624526,0.003470038878335554,0.004611313968982136
5182,2022-12-27 12:35:00+01:00,16825.66,16832.46,16823.07,16831.43,357.01086,0.0,16829.533408018364,16838.730078026045,-9.19667000768095,-9.448402196887457,0.251732189206507,12.394615411994574,1,16800.443461470015,-2.1965714285718767,0.34346504559270835,16853.705308649623,37.36581172640071,38.05533819382686,-57804.56649000001,-0.33822562613882223,-0.03871026444292011,-0.027544210827193303,0.001507208657010175,0.0017831419176512538
5205,2022-12-27 14:30:00+01:00,16833.35,16833.98,16822.1,16823.25,462.96813,1.0,16826.96647464238,16822.981927199722,3.984547442658368,4.200159870444794,-0.21561242778642598,12.30520834908908,-1,16854.013020872724,-0.22754135338491516,0.6158536585365854,16801.121576286398,43.63943991746723,43.84258578161469,-57507.75346,-0.6576901577410291,-0.20264140779854728,-0.0897752876991998,0.0009677840169558865,0.0018672131899611297
5223,2022-12-27 16:00:00+01:00,16771.85,16778.4,16745.35,16772.79,1468.71887,0.0,16771.56410216418,16783.616591235896,-12.052489071716991,-12.96727504007096,0.9147859683539696,18.628433525857297,1,16726.218916185357,-3.3726766917305557,0.3904893449092494,16817.568133144614,30.847064608706148,32.27120645618997,-61601.898030000004,-0.8310567331350722,-0.33312574985980414,-0.16394893117447334,0.0027074686226807635,0.004354096428983121
5260,2022-12-27 19:05:00+01:00,16678.16,16679.68,16646.0,16665.14,1316.46311,0.0,16673.255758783103,16700.94513035226,-27.6893715691549,-28.33400185481581,0.6446302856609094,26.135046387809314,1,16599.802384030478,-6.81484962406015,0.2579943939133868,16708.259702705764,20.525920607359364,23.220381136081283,-66501.75216,-1.110431926398489,-0.5737132845538575,-0.3206913436838083,0.006096518397017434,0.009333363121460618
5283,2022-12-27 21:00:00+01:00,16690.75,16691.63,16671.84,16675.35,744.90016,0.0,16674.447443626006,16649.3900501099,25.05739351610464,26.45677906052875,-1.39938554442411,20.198537677456216,-1,16725.84634419364,1.744255639096736,0.8359862986096903,16628.29408453859,55.25047654754498,49.884367122785164,-65323.45093999997,-2.6919804149884135,-1.205238065437967,-0.5082789248462662,0.001580643068034315,0.006697474166180697
5363,2022-12-28 03:40:00+01:00,16690.21,16702.43,16682.81,16695.09,539.28725,0.0,16691.380579883487,16694.10758330179,-2.727003418302047,-3.2727333637134883,0.5457299454114413,15.899867672575189,1,16655.340330818563,0.1766992481198526,0.42866647657065793,16747.72695957511,50.28917629993346,49.61157657442145,-63241.689579999955,0.1705146120829313,-0.4608663377544316,-0.2348244231501999,7.689644944956374e-05,0.0024308489078771387
5373,2022-12-28 04:30:00+01:00,16631.35,16658.6,16628.12,16653.1,830.06689,0.0,16633.27358305371,16650.628204506414,-17.354621452705032,-21.03710316083366,3.682481708128627,25.758005764178016,1,16588.704985589553,-4.170992481203232,0.6074078895976975,16684.571148255563,46.911304846563276,44.95775720337699,-67455.95455999997,-0.11820045545561975,-0.4812437635584324,-0.27871280468944104,0.0016798569828054995,0.004479469885853992
5403,2022-12-28 07:00:00+01:00,16603.96,16621.56,16592.18,16620.77,953.9983,1.0,16610.468908356193,16622.270977426608,-11.80206907041429,-13.313109353572855,1.5110402831585645,21.63852018108302,1,16566.673699547293,-3.46464661654281,0.3764225896500057,16642.114329038846,42.801461188168076,42.227043671004026,-70184.14534999995,-0.9002460901848838,-0.6800692294160859,-0.3140410337919602,0.0020080885230258994,0.005164718195358647
5512,2022-12-28 16:05:00+01:00,16767.38,16773.0,16746.94,16754.94,892.82695,1.0,16749.955378213377,16719.438308943994,30.517069269382773,30.53465557734421,-0.017586307961437342,26.180469872793832,-1,16820.391174681983,6.143789473685779,0.8076311605723371,16665.379246347715,68.28869764271029,67.37441833861256,-61546.72262999994,0.2224263885133979,-0.10773444529278081,0.007257529041450118,0.004529174850748527,0.004601416192046572
